'Recall / Sales History' [2996x1771@422,292]
'Order ORD-95 — Closed (read-only)' [516x401@1662,977]
'Order ORD-95 — Closed (read-only)' [520x77@1660,900]
'System' [77x77@1660,900]
'Close' [114x74@2064,902]
'Payment: Paid    •    Status: Closed' [451x41@450,1320]
'Customer: Walk-in Customer    •    Table: None    •    Items: 1    •    Total: Rs. 450.00' [1176x45@450,1275]
'Selected:  ORD-95  •  Take Away  •  Closed' [698x47@450,1228]
'Enter = select  •  Esc = close  •  Ctrl+F = search' [2116x134@437,1916]
'Close' [325x100@2562,1921]
'View' [450x100@2918,1921]
'1 order found' [209x120@2631,302]
'⟳ Refresh' [285x95@2856,305]
'✕ Clear' [235x95@3156,305]
'HELD' [350x105@434,432]
'OPEN' [350x105@794,432]
'CLOSED' [350x105@1154,432]
'VOIDED' [350x105@1514,432]
'From:' [88x104@434,564]
'From:' [272x48@536,579]
'To:' [48x104@865,564]
'To:' [272x48@927,579]
'Today' [121x32@2642,561]
'Yesterday' [169x32@2769,561]
'This Week' [177x32@2944,561]
'This Month' [192x32@3127,561]
'All' [75x32@3325,561]
'Recall / Sales History' [3000x77@420,215]
'System' [77x77@420,215]
'Maximize' [115x75@3187,217]
'Close' [114x74@3304,217]
'Clovent POS' [269x103@3,64]
'+ Dine In' [155x89@279,71]
'+ Take Away' [207x89@442,71]
'Cashier: Administrator' [273x109@2590,61]
'No order selected.' [551x70@2873,80]
'History' [129x89@3432,71]
'More ▼' [134x89@3569,71]
'Logout' [125x89@3711,71]
'☰' [114x107@6,177]
'Table T-02 · ORD-89' [310x54@31,312]
'Open' [158x50@350,314]
'1 items · 2 d ago' [310x55@31,366]
'30.00' [167x55@341,366]
'Table T-03 · ORD-87' [310x54@31,472]
'Open' [158x50@350,474]
'4 items · 4 d ago' [310x55@31,526]
'1,817.50' [167x55@341,526]
'Take Away · ORD-86' [310x54@31,632]
'Take Away' [158x50@350,634]
'8 items · 4 d ago' [310x55@31,686]
'3,590.00' [167x55@341,686]
'Table T-01 · ORD-84' [310x54@31,792]
'Open' [158x50@350,794]
'6 items · 5 d ago' [310x55@31,846]
'2,102.50' [167x55@341,846]
'Take Away · ORD-77' [310x54@31,952]
'Take Away' [158x50@350,954]
'1 items · 20 d ago' [310x55@31,1006]
'50.00' [167x55@341,1006]
'Take Away · ORD-76' [310x54@31,1112]
'Take Away' [158x50@350,1114]
